region;inst_name;inst_type;province;location;designation
03 - Central Luzon;President Ramon Magsaysay State University-Castillejos;SUC;Zambales;Castillejos;Municipality
03 - Central Luzon;President Ramon Magsaysay State University-Masinloc;SUC;Zambales;Masinloc;Municipality
03 - Central Luzon;President Ramon Magsaysay State University-Sta. Cruz;SUC;Zambales;Santa Cruz;Municipality
03 - Central Luzon;La Consolacion University Philippines;Private;Bulacan;City of Malolos;City
03 - Central Luzon;Republic Central Colleges;Private;Pampanga;City of Angeles;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-Sebani Estate Agricultural College;SUC;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-Atate;SUC;Nueva Ecija;City of Palayan;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-Fort Magsaysay;SUC;Nueva Ecija;City of Palayan;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-San Isidro Campus;SUC;Nueva Ecija;San Isidro;Municipality
03 - Central Luzon;Nueva Ecija University of Science and Technology-Sumacab Campus;SUC;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-Peñaranda;SUC;Nueva Ecija;Peñaranda;Municipality
03 - Central Luzon;Nueva Ecija University of Science and Technology-Talavera;SUC;Nueva Ecija;Talavera;Municipality
03 - Central Luzon;Nueva Ecija University of Science and Technology-San Leonardo;SUC;Nueva Ecija;San Leonardo;Municipality
03 - Central Luzon;Nueva Ecija University of Science and Technology-Carranglan;SUC;Nueva Ecija;Carranglan;Municipality
03 - Central Luzon;Nueva Ecija University of Science and Technology-San Antonio Campus;SUC;Nueva Ecija;San Antonio;Municipality
03 - Central Luzon;Saint Anthony College of Technology;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Saint Mary's College of Meycauayan;Private;Bulacan;City of Meycauayan;City
03 - Central Luzon;St. Paul University at San Miguel;Private;Bulacan;Bulacan;Municipality
03 - Central Luzon;San Jose Christian Colleges;Private;Nueva Ecija;San Jose City;Municipality
03 - Central Luzon;STI College-City of Tarlac;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;Systems Plus College Foundation;Private;Pampanga;City of Angeles;City
03 - Central Luzon;Tarlac Agricultural University;SUC;Tarlac;Camiling;Municipality
03 - Central Luzon;Tarlac State University;SUC;Tarlac;City of Tarlac;City
03 - Central Luzon;Tomas Del Rosario College;Private;Bataan;City of Balanga;City
03 - Central Luzon;University of the Assumption;Private;Pampanga;City of San Fernando;City
03 - Central Luzon;Wesleyan University-Philippines (Cabanatuan);Private;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;President Ramon Magsaysay State University-San Marcelino;SUC;Zambales;San Marcelino;Municipality
03 - Central Luzon;Bataan Peninsula State University-Orani;SUC;Bataan;Orani;Municipality
03 - Central Luzon;Interworld Colleges Foundation - Paniqui;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;STI College-City of San Fernando;Private;Pampanga;City of San Fernando;City
03 - Central Luzon;STI College-Angeles City;Private;Pampanga;City of Angeles;City
03 - Central Luzon;STI College-Meycauayan;Private;Bulacan;City of Meycauayan;City
03 - Central Luzon;STI College-Malolos;Private;Bulacan;City of Malolos;City
03 - Central Luzon;United School of Science and Technology Colleges;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;Concepcion Holy Cross College;Private;Tarlac;Concepcion;Municipality
03 - Central Luzon;Northern Zambales College;Private;Zambales;Masinloc;Municipality
03 - Central Luzon;Columban College-Sta. Cruz Zambales;Private;Zambales;Santa Cruz;Municipality
03 - Central Luzon;College of Saint Lawrence;Private;Bulacan;Balagtas;Municipality
03 - Central Luzon;Sact Mutien College;Private;Pampanga;Mabalacat City;Municipality
03 - Central Luzon;Fernandez College of Arts and Technology;Private;Bulacan;City of Baliwag;City
03 - Central Luzon;Micro Asia College of Science and Technology;Private;Zambales;Iba;Municipality
03 - Central Luzon;Sienna College of San Jose;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Bataan Peninsula State University;SUC;Bataan;City of Balanga;City
03 - Central Luzon;AMA Computer College-Cabanatuan City;Private;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;Comteq Computer and Business College;Private;Zambales;City of Olongapo;City
03 - Central Luzon;Gordon College;LUC;Zambales;City of Olongapo;City
03 - Central Luzon;Eastwoods Professional College of Science and Technology;Private;Bataan;City of Balanga;City
03 - Central Luzon;AMA Computer College-San Fernando Pampanga;Private;Pampanga;City of San Fernando;City
03 - Central Luzon;Limay Polytechnic College;LUC;Bataan;Limay;Municipality
03 - Central Luzon;Maritime Academy of Asia and the Pacific;Private;Bataan;Mariveles;Municipality
03 - Central Luzon;AMA Computer College-Tarlac City;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;Fundamental Baptist College For Asians;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;St. Paul Colleges Foundation-Paniqui Tarlac;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;ABE International College of Business and Economics-Cabanatuan;Private;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;AMA Computer College-Angeles City;Private;Pampanga;City of Angeles;City
03 - Central Luzon;Asia Pacific College of Advanced Studies;Private;Bataan;City of Balanga;City
03 - Central Luzon;College of Mary Immaculate of Pandi Bulacan;Private;Bulacan;Pandi;Municipality
03 - Central Luzon;Saint Mary's College of Baliuag;Private;Bulacan;City of Baliwag;City
03 - Central Luzon;Saint Augustine Colleges Foundation;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;Saint Rose College Educational Foundation;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;ABE International College of Business and Accountancy;Private;Bulacan;City of Malolos;City
03 - Central Luzon;AMA Computer College-Olongapo City;Private;Zambales;City of Olongapo;City
03 - Central Luzon;La Concepcion College;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Colegio De San Gabriel Arcangel;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Mary the Queen College-Pampanga;Private;Pampanga;Guagua;Municipality
03 - Central Luzon;Mount Carmel College of Casiguran;Private;Aurora;Casiguran;Municipality
03 - Central Luzon;STI College-Sta. Maria;Private;Bulacan;Santa Maria;Municipality
03 - Central Luzon;STI College-Balagtas;Private;Bulacan;Balagtas;Municipality
03 - Central Luzon;Lyceum of Subic Bay;Private;Zambales;City of Olongapo;City
03 - Central Luzon;Kolehiyo ng Subic;LUC;Zambales;Subic;Municipality
